Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
159,21r01a05b8,cmrit25_21r01a05b8,756,21r01a05b8,0,16,21r01a05b8,1415,haneefa215b8,1089,21r01a05b8,50,32.22%
160,21r01a0528,cmrit25_21r01a0528,0,21r01a0528,162,229,21r01a0528,1375,k_prakashraj17,1337,21r01a0528,50,32.22%
161,22r05a6603,cmrit25_22r05a6603,754,cheedallaso5l0,0,0,srinidhi_cheedalla,1531,srinidhi89,1115,cheedallasrinidhi22r05a6603,0,32.12%
162,22r05a6604,cmrit25_22r05a6604,780,thanojsrlibh,10,1,22r05a6604thanoj,1299,thanojsriman,1111,22r05a6604thanoj,27,32.09%
163,21r01a7259,cmrit25_21r01a7259,722,arjun1515,0,13,21r01a7259,1415,arjun1515,1139,21r01a7259,70,31.93%
164,21r01a04f6,cmrit25_21r01a04f6,708,21r01a04f6,0,0,21r01a04f6,1410,pranish_f6,1053,21r01a04f6,194,31.89%
165,21r01a66f4,cmrit25_21r01a66f4,736,21r01a66f4,0,0,teja_sri26,1353,teja_sri26,1101,21r01a66f4,128,31.81%
166,21r01a04c7,cmrit25_21r01a04c7,899,21r01a04c7,60,0,bhavani_19,0,bhavani_92,1090,21r01a04c7,274,31.77%
167,21r01a05d8,b_sai_charan99,584,21r01a4moz,60,0,21r01a05d8,1418,sai21r01a05d8,1216,21r01a05d8cmrit1,0,31.75%
168,21r01a7317,21r01a7317,747,21r01a7317,20,0,21r01a7317,1341,sridhar7317,1019,21r01a7317,35,31.66%
169,21r01a6673,cmrit25_21r01a6673,734,srivarshini,0,0,21r01a6673,1337,varshini8,1287,srivarshini,0,31.61%
170,22r05a6614,cmrit25_22r05a6614,780,22r05a6614,9,2,22r05a6614,1415,govardhan14,967,cmr_22r05a6614,0,31.59%
171,21r01a04b1,janvipulluri_18,729,21r01ab5ys,0,0,_j21r01a04b1,1499,j21r01a04b1,981,21r01a04b1,105,31.56%
172,21r01a6615,cmrit25_21r01a6615,727,21r01a6615,25,0,21r01a6615,1322,cmr21r01a6615,992,21r01a6615,65,31.51%
173,21r01a67k4,21r01a67k4_vishnu,632,21r01a67k4,20,0,21r01a67k4,1570,vishnu_a67k4,1164,21r01a67k4,35,31.51%
174,22r05a7204,cmrit25_22r05a7204,749,22r05a7204,0,2,22r05a7204,1371,cmr22r05a7204,1103,22r05a7204,46,31.48%
175,21r01a66g1,cmrit25_21r01a66g1,702,21r01a66g1,0,33,21r01a66g1,1428,pavan138,881,21r01a66g1,162,31.39%
176,21r01a7321,cmrit25_21r01a7321,985,21r01a7321,7,2,,0,vaishnavii1312,911,21r01a7321,435,31.18%
177,21r01a6799,saikrishna_25,748,21r01a6799,0,0,21r01a6799,1429,r01a6799,1051,21r01a6799,15,31.12%
178,21r01a67c8,21r01a67c8,1065,,0,0,,0,moneycharan4,919,21r01a67c8,283,31.02%
179,21r01a05e1,charan_boga,586,21r01a05e1,40,19,21r01a05e1,1420,cmr_21r01a05e1,943,21r01a05e1,147,30.93%
180,21r01a05j4,cmrit25_21r01a05j4,894,21r01a05j4,70,0,gopikrishna,0,r01a05j4,1211,21r01a05j4,45,30.77%
181,21r01a67d6,21r01a67d6,733,,0,0,21r01a67d6,1392,meghana_85,1090,21r01a67d6,5,30.73%
182,21r01a66b6,cmrit25_21r01a66b6,729,21r01ant7h,0,0,21r01a66b6,1382,cmr_21r01a66b6,997,21r01a66b6,70,30.63%
183,21r01a7316,21r01a7316,722,21r01a7316,0,15,21r01a7316,1456,madhan45,925,21r01a7316,40,30.59%
184,21r01a6711,21r01a6711,714,21r01a6711,0,0,21r01a6711,1341,kartheekdama11,1128,21r01a6711,35,30.55%
185,21r01a0510,cmrit25_21r01a0510,718,ranjithra88zk,10,0,ranjith_890,1494,ranjith_890,922,ranjithranji2251,5,30.52%
186,21r01a66d9,cmrit_21r01a66d9,375,21r01a66d9,0,87,cmr_21r01a66d9,1411,navya_63,1105,21r01a66d9,501,30.51%
187,21r01a6682,cmrit25_21r01a6682,972,21r01asoh5,0,11,21r01a6682,0,cmr_21r01a6682,1299,21r01a6682,152,30.49%
188,22r05a6613,cmrit25_22r05a6613,919,22r05a6613,40,22,22r05a6613,0,cmr_22r05a6613,1120,22r05a6613,122,30.43%
189,21r01a04d7,cmrit25_21r01a04d7,770,21r01a04d7,0,0,swathi2k23,1446,swathi2k23,686,21r01a04d7,102,30.23%
190,21r01a67f8,cmrit_21r01a67f8,987,21r01a67f8,0,9,sathwikakoduri,0,sathwikakoduri,1203,21r01a67f8,147,30.1%
